["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","BOTTOM"]
["port 4","BOTTOM"]
("port 1","mode 1",1,"port 1",1,"transmission")
(25, 3)
1.9673880056250000e+14 9.8141483328931456e-01 6.1291606429941830e+00
1.9725927357986109e+14 9.8272294149647743e-01 6.5018256704824537e+00
1.9777974659722222e+14 9.8218701664444030e-01 6.8722273855501923e+00
1.9830021961458331e+14 9.8389546285633234e-01 7.2450269292009306e+00
1.9882069263194444e+14 9.8278241738355399e-01 7.6158006284838233e+00
1.9934116564930553e+14 9.8471451357534656e-01 7.9883651537095908e+00
1.9986163866666666e+14 9.8330987999835551e-01 8.3597134122109580e+00
("port 1","mode 1",1,"port 4",1,"transmission")
(25, 3)
1.8737028625000000e+14 2.7562187516406489e-01 -6.2297864713072137e-01
1.8789075926736112e+14 2.7049095751413954e-01 -1.9524794716186236e-01
1.8841123228472222e+14 2.6458093583830233e-01 2.3880430473057279e-01
1.8893170530208334e+14 2.5903500424762160e-01 6.6766057861927397e-01
1.8945217831944444e+14 2.5372854127435873e-01 1.1016036429525151e+00
1.8997265133680556e+14 2.4799950712576585e-01 1.5328673065089273e+00
1.9049312435416666e+14 2.4299622056848313e-01 1.9656111873872659e+00
1.9101359737152778e+14 2.3747570006632621e-01 2.3997072497699201e+00
1.9153407038888888e+14 2.3240728487570061e-01 2.8312916204878928e+00
1.9205454340625000e+14 2.2742005922887631e-01 3.2674566049733915e+00
1.9257501642361109e+14 2.2207708086120445e-01 3.6990201585082310e+00
1.9309548944097222e+14 2.1770635455704454e-01 4.1356749330989766e+00
1.9361596245833331e+14 2.1216115948915776e-01 4.5687727812924628e+00
1.9413643547569444e+14 2.0821758487635691e-01 5.0044165056610002e+00
1.9465690849305556e+14 2.0277050777868372e-01 5.4400527282363198e+00
1.9517738151041666e+14 1.9891743921665075e-01 5.8741334739055944e+00
1.9569785452777778e+14 1.9391227908021388e-01 6.3120767612847537e+00
1.9621832754513888e+14 1.8987133791970601e-01 6.7453323066093498e+00
1.9673880056250000e+14 1.8549254180214086e-01 7.1841562647751527e+00
1.9725927357986109e+14 1.8120619225861720e-01 7.6181938749053053e+00
1.9777974659722222e+14 1.7737409374403251e-01 8.0560545341105652e+00
1.9830021961458331e+14 1.7303191761588754e-01 8.4923604649234150e+00
1.9882069263194444e+14 1.6945756516503510e-01 8.9280830051228506e+00
1.9934116564930553e+14 1.6537501788768946e-01 9.3670520088556177e+00
