["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","BOTTOM"]
["port 4","BOTTOM"]
("port 2","mode 1",1,"port 2",1,"transmission")
(27, 3)
1.9777974659722222e+14 5.1280288455310390e-03 7.4246534028321065e+00
1.9830021961458331e+14 4.1046760036425886e-03 7.9300262411316123e+00
1.9882069263194444e+14 3.3067646027766253e-03 8.3637838042985386e+00
1.9934116564930553e+14 2.8826889867085304e-03 9.2835453395969161e+00
1.9986163866666666e+14 2.8765359290881245e-03 1.0142672553109438e+01
("port 3","mode 1",1,"port 4",1,"transmission")
(27, 3)
1.8737028625000000e+14 8.9458461260873368e-01 -7.2818999932499762e-01
1.8789075926736112e+14 9.0039289664414224e-01 -2.3326430979265847e-01
1.8841123228472222e+14 9.0405164607727828e-01 2.6134580343566993e-01
1.8893170530208334e+14 9.1003789386914635e-01 7.5736884583518693e-01
1.8945217831944444e+14 9.1250588857967929e-01 1.2532966689755667e+00
1.8997265133680556e+14 9.1838168127656161e-01 1.7497135863339301e+00
1.9049312435416666e+14 9.2025973382741899e-01 2.2472539933662818e+00
1.9101359737152778e+14 9.2544555394702510e-01 2.7439171264800679e+00
1.9153407038888888e+14 9.2737174642286468e-01 3.2427520015985194e+00
1.9205454340625000e+14 9.3148450685001760e-01 3.7400637197762592e+00
1.9257501642361109e+14 9.3368593833666635e-01 4.2394852696199496e+00
1.9309548944097222e+14 9.3685807883376704e-01 4.7379955864612748e+00
1.9359660086208747e+14 9.3894089309685069e-01 5.2188607631067985e+00
1.9361596245833331e+14 9.3903497266421121e-01 5.2374119328670341e+00
1.9363532405457916e+14 9.3913270558895812e-01 5.2559640097764646e+00
1.9413643547569444e+14 9.4182266204669463e-01 5.7373289130607343e+00
1.9465690849305556e+14 9.4343507280844729e-01 6.2366555850161474e+00
1.9517738151041666e+14 9.4639588840224298e-01 6.7376333031188693e+00
1.9569785452777778e+14 9.4713250065086430e-01 7.2372741271484333e+00
1.9621832754513888e+14 9.5041233563961558e-01 7.7386498738811662e+00
1.9673880056250000e+14 9.5045172349693863e-01 8.2390956112268139e+00
1.9725927357986109e+14 9.5371670612457460e-01 8.7403595912323269e+00
1.9777974659722222e+14 9.5359595039965550e-01 9.2417564982951959e+00
1.9830021961458331e+14 9.5632262290019343e-01 9.7428928284728435e+00
1.9882069263194444e+14 9.5651867056609852e-01 1.0244883939437168e+01
1.9934116564930553e+14 9.5843658547171295e-01 1.0746306695564730e+01
1.9986163866666666e+14 9.5901650793641768e-01 1.1248287398602464e+01
("port 3","mode 1",1,"port 1",1,"transmission")
(27, 3)
1.8737028625000000e+14 1.7654318912798698e-03 -2.8100474565003184e+00
1.8789075926736112e+14 1.6283816289660476e-03 -2.4737879845932347e+00
1.8841123228472222e+14 1.4365110882416825e-03 -2.1537386487089276e+00
1.8893170530208334e+14 1.2043576057919002e-03 -1.8460485784284073e+00
1.8945217831944444e+14 1.0055254270749758e-03 -1.5951450678037398e+00
1.8997265133680556e+14 8.6827677234846824e-04 -1.3485034767117363e+00
1.9049312435416666e+14 8.0799668206492023e-04 -1.1096326321612338e+00
1.9101359737152778e+14 8.1773439958547460e-04 -7.6596050269729865e-01
1.9153407038888888e+14 8.5571276833985627e-04 -3.5585347422626207e-01
1.9205454340625000e+14 9.4706252535331525e-04 1.3837377578360086e-01
1.9257501642361109e+14 1.0435043425136249e-03 6.5694283304749856e-01
1.9309548944097222e+14 1.1853409667061446e-03 1.1689584162521938e+00
1.9359660086208747e+14 1.3105398459940030e-03 1.6583170207356457e+00
1.9361596245833331e+14 1.3149961295850499e-03 1.6763233309542733e+00
1.9363532405457916e+14 1.3194666187178864e-03 1.6942599169533612e+00
1.9413643547569444e+14 1.4441390984430702e-03 2.1470621688375182e+00
1.9465690849305556e+14 1.5458193435122602e-03 2.6142273652268200e+00
1.9517738151041666e+14 1.6028799922237749e-03 3.0553469133422206e+00
1.9569785452777778e+14 1.6312444752276398e-03 3.4956231860123141e+00
1.9621832754513888e+14 1.5994962371615336e-03 3.9302145351007107e+00
1.9673880056250000e+14 1.5467736211150535e-03 4.3642392859596235e+00
1.9725927357986109e+14 1.4519176399913913e-03 4.8142712277847659e+00
1.9777974659722222e+14 1.3517969001434786e-03 5.2654958277400423e+00
1.9830021961458331e+14 1.2580811746085265e-03 5.7512825786144637e+00
1.9882069263194444e+14 1.1830278497240330e-03 6.2422971570652059e+00
1.9934116564930553e+14 1.1715280867924394e-03 6.7602475465733765e+00
1.9986163866666666e+14 1.1972559510442632e-03 7.2722767366566448e+00
("port 4","mode 1",1,"port 2",1,"transmission")
(27, 3)
1.8737028625000000e+14 1.7592675666271102e-03 3.2113292358239276e-01
1.8789075926736112e+14 1.6256596960720798e-03 6.5547432433197816e-01
1.8841123228472222e+14 1.4369038599312042e-03 9.7153955645343870e-01
1.8893170530208334e+14 1.2080670869950333e-03 1.2759706829565238e+00
1.8945217831944444e+14 1.0124901530395611e-03 1.5222808547285929e+00
1.8997265133680556e+14 8.7928179129585966e-04 1.7674376525898088e+00
1.9049312435416666e+14 8.2104684505293168e-04 2.0067485850201070e+00
1.9101359737152778e+14 8.3181922593631049e-04 2.3530433230467391e+00
1.9153407038888888e+14 8.6784448920378837e-04 2.7655654983541069e+00
1.9205454340625000e+14 9.5750823962121570e-04 3.2620353838558636e+00
1.9257501642361109e+14 1.0513993013043243e-03 3.7836307526240684e+00
1.9309548944097222e+14 1.1917500729982451e-03 4.2977809168825472e+00
